office_name,date,monthly_registrations
Mahoba,2025-01-01,83.74038
Mahoba,2025-02-01,95.48315
Mahoba,2025-03-01,109.53968
Mahoba,2025-04-01,102.88022
Mahoba,2025-05-01,99.938774
Mainpuri,2024-06-01,138.21521
Mainpuri,2024-07-01,117.3564
Mainpuri,2024-08-01,113.248764
Mainpuri,2024-09-01,102.74288
Mainpuri,2024-10-01,75.123344
Mainpuri,2024-11-01,66.098724
Mainpuri,2024-12-01,52.627445
Mainpuri,2025-01-01,109.62075
Mainpuri,2025-02-01,117.38543
Mainpuri,2025-03-01,130.79099
Mainpuri,2025-04-01,120.442795
Mainpuri,2025-05-01,116.37865
Mathura,2024-06-01,531.6243
Mathura,2024-07-01,587.56586
Mathura,2024-08-01,627.2784
Mathura,2024-09-01,674.92596
Mathura,2024-10-01,688.54346
Mathura,2024-11-01,711.7089
Mathura,2024-12-01,724.5215
Mathura,2025-01-01,862.5267
Mathura,2025-02-01,978.94867
Mathura,2025-03-01,1115.2714
Mathura,2025-04-01,1233.5902
Mathura,2025-05-01,1364.858
Mau,2024-06-01,234.9908
Mau,2024-07-01,198.88387
Mau,2024-08-01,197.45157
Mau,2024-09-01,197.16237
Mau,2024-10-01,142.09547
Mau,2024-11-01,139.98575
Mau,2024-12-01,119.90538
Mau,2025-01-01,184.00847
Mau,2025-02-01,193.98228
Mau,2025-03-01,216.19327
Mau,2025-04-01,203.80313
Mau,2025-05-01,200.94963
Meerut Rto,2024-06-01,894.23694
Meerut Rto,2024-07-01,950.9918
Meerut Rto,2024-08-01,1072.6542
Meerut Rto,2024-09-01,1168.9127
Meerut Rto,2024-10-01,1248.5831
Meerut Rto,2024-11-01,1331.9191
Meerut Rto,2024-12-01,1410.4614
Meerut Rto,2025-01-01,1575.7539
Meerut Rto,2025-02-01,1712.4248
Meerut Rto,2025-03-01,1850.6147
Meerut Rto,2025-04-01,1951.7106
Meerut Rto,2025-05-01,2045.0719
Mirzapur Rto,2024-06-01,244.61748
Mirzapur Rto,2024-07-01,220.85484
Mirzapur Rto,2024-08-01,214.0378
Mirzapur Rto,2024-09-01,211.4614
Mirzapur Rto,2024-10-01,158.82793
Mirzapur Rto,2024-11-01,152.56375
Mirzapur Rto,2024-12-01,131.80902
Mirzapur Rto,2025-01-01,200.24911
Mirzapur Rto,2025-02-01,209.86224
Mirzapur Rto,2025-03-01,236.79584
Mirzapur Rto,2025-04-01,225.71117
Mirzapur Rto,2025-05-01,227.63077
Moradabad,2024-06-01,671.0458
Moradabad,2024-07-01,740.31177
Moradabad,2024-08-01,808.5975
Moradabad,2024-09-01,882.54694
Moradabad,2024-10-01,927.9635
Moradabad,2024-11-01,984.3261
Moradabad,2024-12-01,1035.1392
Moradabad,2025-01-01,1197.6465
Moradabad,2025-02-01,1337.3694
Moradabad,2025-03-01,1491.5212
