date,office_name,office_code,fuel_type,registrations
2021-10-01,Auraiya,UP79,Electric(Bov),8
2021-09-01,Auraiya,UP79,Electric(Bov),3
2022-04-01,Auraiya,UP79,Electric(Bov),27
2022-08-01,Auraiya,UP79,Electric(Bov),70
2022-12-01,Auraiya,UP79,Electric(Bov),54
2022-02-01,Auraiya,UP79,Electric(Bov),12
2022-01-01,Auraiya,UP79,Electric(Bov),21
2022-07-01,Auraiya,UP79,Electric(Bov),29
2022-06-01,Auraiya,UP79,Electric(Bov),27
2022-03-01,Auraiya,UP79,Electric(Bov),11
2022-05-01,Auraiya,UP79,Electric(Bov),12
2022-11-01,Auraiya,UP79,Electric(Bov),79
2022-10-01,Auraiya,UP79,Electric(Bov),21
2022-09-01,Auraiya,UP79,Electric(Bov),36
2023-04-01,Auraiya,UP79,Electric(Bov),62
2023-08-01,Auraiya,UP79,Electric(Bov),84
2023-12-01,Auraiya,UP79,Electric(Bov),192
2023-02-01,Auraiya,UP79,Electric(Bov),76
2023-01-01,Auraiya,UP79,Electric(Bov),37
2023-07-01,Auraiya,UP79,Electric(Bov),98
2023-06-01,Auraiya,UP79,Electric(Bov),56
2023-03-01,Auraiya,UP79,Electric(Bov),91
2023-05-01,Auraiya,UP79,Electric(Bov),67
2023-11-01,Auraiya,UP79,Electric(Bov),128
2023-10-01,Auraiya,UP79,Electric(Bov),86
2023-09-01,Auraiya,UP79,Electric(Bov),136
2024-04-01,Auraiya,UP79,Electric(Bov),100
2024-04-01,Auraiya,UP79,Pure Ev,1
2024-02-01,Auraiya,UP79,Electric(Bov),102
2024-01-01,Auraiya,UP79,Electric(Bov),101
2024-03-01,Auraiya,UP79,Electric(Bov),132
2024-05-01,Auraiya,UP79,Electric(Bov),138
2024-05-01,Auraiya,UP79,Pure Ev,4
2020-08-01,Ayodhya Rto,UP42,Electric(Bov),29
2020-12-01,Ayodhya Rto,UP42,Electric(Bov),52
2020-02-01,Ayodhya Rto,UP42,Electric(Bov),54
2020-01-01,Ayodhya Rto,UP42,Electric(Bov),44
2020-07-01,Ayodhya Rto,UP42,Electric(Bov),28
2020-06-01,Ayodhya Rto,UP42,Electric(Bov),23
2020-03-01,Ayodhya Rto,UP42,Electric(Bov),39
2020-05-01,Ayodhya Rto,UP42,Electric(Bov),7
2020-11-01,Ayodhya Rto,UP42,Electric(Bov),73
2020-10-01,Ayodhya Rto,UP42,Electric(Bov),52
2020-09-01,Ayodhya Rto,UP42,Electric(Bov),38
2021-04-01,Ayodhya Rto,UP42,Electric(Bov),54
2021-08-01,Ayodhya Rto,UP42,Electric(Bov),72
2021-12-01,Ayodhya Rto,UP42,Electric(Bov),180
2021-02-01,Ayodhya Rto,UP42,Electric(Bov),62
2021-01-01,Ayodhya Rto,UP42,Electric(Bov),62
2021-07-01,Ayodhya Rto,UP42,Electric(Bov),55
2021-06-01,Ayodhya Rto,UP42,Electric(Bov),42
2021-03-01,Ayodhya Rto,UP42,Electric(Bov),87
2021-11-01,Ayodhya Rto,UP42,Electric(Bov),172
2021-10-01,Ayodhya Rto,UP42,Electric(Bov),135
2021-09-01,Ayodhya Rto,UP42,Electric(Bov),120
2022-04-01,Ayodhya Rto,UP42,Electric(Bov),180
2022-08-01,Ayodhya Rto,UP42,Electric(Bov),259
2022-12-01,Ayodhya Rto,UP42,Electric(Bov),225
2022-02-01,Ayodhya Rto,UP42,Electric(Bov),147
2022-01-01,Ayodhya Rto,UP42,Electric(Bov),122
2022-07-01,Ayodhya Rto,UP42,Electric(Bov),280
2022-06-01,Ayodhya Rto,UP42,Electric(Bov),220
2022-03-01,Ayodhya Rto,UP42,Electric(Bov),198
2022-05-01,Ayodhya Rto,UP42,Electric(Bov),245
2022-11-01,Ayodhya Rto,UP42,Electric(Bov),318
2022-10-01,Ayodhya Rto,UP42,Electric(Bov),322
2022-09-01,Ayodhya Rto,UP42,Electric(Bov),242
